מפעל,רכיב עלות,סוג תמחיר,מרכז עבודה,תאריך עדכון, עלות לסוג תמחיר 1 , עלות לסוג תמחיר 5 , עלות לסוג תמחיר 6 ,עלות לסוג תמחיר 7,מחלקה,,,
100,B12,5,WC412,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WC413,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WC450,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WC500,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WC512,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WC525,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WC709,, -   , 1.20 ,,,הרכבה 3,,,
100,B12,5,WC752,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WC777,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WC790,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WCASS204,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WCASS209,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WCASS215,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WCASS223,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WCASS224,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WCASS702,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WCASS703,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WCMO01,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B12,5,WCUSW04,, -   , 3.93 ,,,אוטומטית דלתון,,,
100,B01,1,WC403,, 7.00 , -   ,,,הזרקה,,,
100,B01,1,WC404,, 7.00 , -   ,,,הזרקה,,,
100,B01,1,WC405,, 7.00 , -   ,,,הזרקה,,,
100,B01,1,WC406,, 7.00 , -   ,,,הזרקה,,,
